ID,LAT,LONG,Elevation,pH,EC(dSm-1),OC(gkg-1),CaCO3(gkg-1),S(mgkg-1),Zn(mgkg-1),Cu(mgkg-1),Fe(mgkg-1),Mn(mgkg-1),B(mgkg-1)
78,24.02625,79.25847222,359,7.43,0.27,5.15,5,11.27,1.2,1.6,10.76,12.24,0.72
79,24.01088889,79.25022222,360.2,8.05,0.15,5.25,50,9.69,1.08,1.44,9.48,7.22,1.79
80,24.01138889,79.24916667,360,7.95,0.13,5.92,35,10.66,1.18,0.8,5.26,4.7,1.33
81,24.01483333,79.23672222,363,8.04,0.1,5.59,75,11.88,0.76,1.48,11.1,4.74,3.74
82,24.01497222,79.23675,363,7.55,0.25,6.98,15,13.12,1.1,1.38,10.58,5.82,1.58
83,24.0095,79.22622222,360,8.35,0.19,2.6,125,8.73,0.54,0.58,4.54,5.46,2.69
84,24.01222222,79.22127778,362.2,8.19,0.16,5.69,25,9.21,0.72,1.5,10.78,4.72,1.31
85,24.01477778,79.20097222,364.8,8.1,0.23,5.13,50,11.64,0.66,1.12,6.26,5.54,2.71
86,24.01394444,79.20125,364.5,8.15,0.11,4.53,75,14.12,0.58,1,6.44,7.96,1.46
87,23.9915,79.21230556,367,7.86,0.19,4.81,40,21.92,0.76,0.78,7.76,10.04,3.12
88,23.9915,79.21230556,367,7.3,0.14,4.18,35,12.5,0.82,0.62,8.06,9.6,1.48
89,23.95747222,79.21797222,378.5,7.95,0.47,4.05,65,13.49,3.12,0.92,9.72,10.84,1.58
90,23.95719444,79.21772222,378.8,7.89,0.36,5.84,60,14.62,0.76,1.32,12.08,9.5,2.13
91,23.81875,79.39702778,367.3,8.01,0.12,4.07,50,9.45,1.06,1.26,10.02,6.8,3.1
92,23.81208333,79.38355556,365.1,8.15,0.14,5.67,45,11.64,2.06,4.72,30.26,10.42,1.32
93,23.81208333,79.38352778,365.1,7.96,0.43,9.44,50,17.3,0.66,0.82,6.9,5.32,1.85
94,23.79925,79.35466667,359.6,8.14,0.14,4.16,25,14.24,0.9,0.76,7.9,4.9,1.28
95,23.79925,79.35466667,359.6,8.22,0.1,3.14,45,16.02,1.2,2.84,20.86,11.64,1.21
96,23.79138889,79.32783333,360.5,7.32,0.1,4.02,25,13.62,0.92,1.48,15.28,9.86,0.59
97,23.79063889,79.32222222,362.2,6.95,0.09,4.53,95,15.38,1,1.28,10.02,7.34,1.53
98,23.78952778,79.31686111,363.4,8.02,0.12,5.99,45,12.87,0.82,1.16,8.78,3.76,1.55
99,23.7895,79.31741667,363,8.06,0.11,6.25,40,12.87,0.8,1.06,13.52,8.84,1.57
100,23.78972222,79.31686111,362.9,7.56,0.07,5.99,20,14.12,0.74,0.88,9.22,5.94,1.06
101,23.78569444,79.29669444,364,7.22,0.15,4.16,65,12.87,0.54,0.8,6.82,4.1,2.2
102,23.7855,79.2945,366,7.68,0.13,3.16,45,15.38,0.6,0.82,19.58,4.76,0.98
103,23.78330556,79.29283333,368.4,7.72,0.12,3.49,65,12.5,0.62,0.88,7.68,6.62,2.28
104,23.78219444,79.29355556,367.7,7.94,0.09,2.92,25,17.04,0.58,0.66,8.32,7.02,0.39
105,23.77675,79.29727778,366.4,7.76,0.14,3.2,50,14.24,0.58,0.6,5.28,4.56,2.02
106,23.77177778,79.30147222,365,8.03,0.12,3.16,25,13.37,0.52,0.7,5.92,3.78,1.32
107,23.77566667,79.29883333,365.8,7.47,0.13,3.62,70,13.74,0.48,0.66,5.42,9.2,0.95
108,23.77583333,79.29869444,365.8,7.85,0.11,3.46,35,15.89,0.46,0.52,5.86,5.58,1.23
109,23.78525,79.29169444,368.1,8.06,0.12,3.69,45,11.64,0.34,0.44,5.76,4.7,3.06
110,23.772,79.25608333,380.5,8.18,0.14,2.25,75,16.14,0.4,0.46,5.68,5.2,0.4
111,23.77480556,79.25636111,376.7,8.06,0.14,4.3,70,16.27,0.46,0.64,7.24,9.7,2.59
112,23.77283333,79.24655556,385,7.54,0.12,3.44,30,1.89,0.36,0.56,8.02,8.52,1.15
113,23.76844444,79.22630556,388.4,7.68,0.12,4.25,40,2.23,0.4,0.58,7.62,8.46,2.26
114,23.776,79.22711111,390.6,7.92,0.13,3.51,50,3.36,0.3,0.54,7.14,5.64,1.45
